_id,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
1,guess,Amy Wilson,current,1966f930-fd93-488f-bf06-9f829ab751e7,92b61673-13ad-46ef-a56f-8f0d6079f8f2,81,2020-02-22,190066,True,https://www.henderson-hernandez.com/,0.6231554099464092,0.8392288462845982,3,-4.477485909462669,Major,0.43006994166638635,0.8820481565929337,0.31868487544973123,0.6118771827636426,0.3863488249797785,160.34438377350082
2,deep,Amy Allen,real,f416d1bf-7d51-4468-8892-c313c8fe215f,f8685430-c5fc-45bb-80b1-fbf0ad52d5bb,14,2020-12-20,191938,True,https://www.smith-huynh.net/,0.6633874762655443,0.6213356565861579,10,-9.067907987184775,Minor,0.888091021988493,0.6429918306715661,0.099083124393048,0.6939806410407938,0.4503543806404181,154.55527558510056
3,newspaper,Steve Young,perform,20515c59-6200-45ec-b9d0-ac5dcb8c5ae5,e12d7e99-054c-4621-8eee-61b96d7811e0,3,2022-02-21,260666,True,https://www.hart.com/,0.12462531566436774,0.23854494188890585,3,-0.07742860604780333,Minor,0.4138135711769134,0.9865319477358593,0.7147042725232294,0.9986288435101524,0.5498570895174195,82.35739583069866
4,away,Gina Aguirre,some,8f2ed616-a5d6-478f-baa2-b8dfa2bf23ae,da17f1fd-03eb-4141-8414-ab25daa94d56,94,2021-11-24,166653,False,http://www.richards-robinson.com/,0.9000468350970914,0.47356106094612804,4,-0.87070121515832,Major,0.8274192247800447,0.3232082416433607,0.33529035591617695,0.2001783409911202,0.8253113179586135,149.88038417291466
5,under,Corey Barron,attorney,18fe8e5b-ab4e-48e8-90e0-aa9748065e9e,d098bdc2-122a-40ec-bef3-a52fa14af6c9,35,2020-10-20,250864,True,http://www.hendrix.com/,0.5071225040352692,0.11438944610930657,10,-5.385521058212166,Minor,0.3987301842569533,0.9709730642081603,0.14604930682182005,0.13572841773052724,0.6232415786415236,164.67488222662183
6,task,Madison Flores,hit,34909df9-ef11-4138-bba1-a72916d7e6fb,bf11f27e-ad84-48ae-8cf5-a6bef8d4847b,31,2022-02-25,250039,True,http://edwards.com/,0.6668929041057297,0.9477570222166518,1,-8.825338509104425,Major,0.7296125076345044,0.3161388944905802,0.03830319111704372,0.07405203917654368,0.6110431411773787,94.73603714413329
7,instead,Jordan Johnson,bad,e7b24881-7d9c-4e78-b887-927de4738096,ac9387d0-b5b5-4c72-a591-fbd55290f894,28,2021-04-15,272696,False,http://krause.com/,0.32618290485739987,0.46503398343522073,2,-1.6785682623109874,Major,0.312548349997133,0.439762816341864,0.9173961716127513,0.17265636398404105,0.12866339068921517,64.49594111079023
8,their,Megan Braun,character,5227ea1d-0e0a-486d-a83d-8898d535e31e,2ce06d38-2df5-41bd-a7a7-361c2792ecde,17,2021-03-22,288704,True,http://walters.com/,0.697208414194399,0.2562436965621866,3,-5.016244952928047,Minor,0.3125235711418678,0.4689210835263733,0.4724549330478309,0.7133698943638145,0.09668148602473514,95.80706527944969
9,only,Gregory Garcia,phone,c7d847cd-aba2-4265-b859-f3efc7ab670d,7e119ffb-2316-4d2e-b905-7b14b7a320f8,94,2023-08-06,215906,True,https://miller.com/,0.5544124776667937,0.3688951743229414,2,-2.833966740082089,Minor,0.2548897964827792,0.6313851200254293,0.8311104859321764,0.9972624040230418,0.37319833632482,132.3339558607048
10,argue,Gabriela Crawford,cause,6567ea93-9ed3-4133-b9c8-eae48ca38971,09809a71-f5d2-4a6b-9ccf-1a8016616b1a,13,2020-12-04,295024,True,https://www.jenkins-white.com/,0.19184009299014748,0.6058926925603113,8,-4.911279849304883,Minor,0.9535925176191249,0.7963296791514282,0.7588411547656072,0.8105132183576319,0.9867876644364394,171.41458152204206
11,loss,Gina Moody,born,f92d7cd5-ee1d-4f60-81cb-2fcb6bb9ebb5,f61a42f8-6910-4472-bf4d-731241f97660,86,2022-02-17,153009,True,https://www.wall-perez.biz/,0.6649294342127715,0.9637347441012087,1,-7.265751032867258,Major,0.6868210354669767,0.591419756831021,0.4691101271554937,0.9675612363630623,0.5578318382721287,100.20505364349036
12,know,Jacob Foster,understand,dff5b5c0-efc0-4bf5-b119-738fdfef3b9c,7c8574b6-5381-4d90-9231-d9a3a7cd687e,94,2022-01-10,180029,True,http://www.bender.biz/,0.37914527712254176,0.7183572285960083,2,-1.6527605442330557,Major,0.4742678855891027,0.3519422226200766,0.6153482571635484,0.986574659642486,0.36560637321297207,114.5218893788154
13,heavy,Lisa Rodriguez,former,5ad3c74c-32a0-4b21-ab86-861b950543e9,ef0805ca-b214-43c4-aea8-71482cef8ba0,69,2020-12-16,290763,True,https://harris-trujillo.com/,0.74813456015889,0.7777918861754326,0,-0.19755367396624557,Major,0.09122478836604864,0.07419065617328768,0.9058574891032708,0.6678397904889679,0.1442673593689343,136.9574891417925
