Job Title,Company,Location,Estimated Salary
Full Stack Software Engineer,Manulife,"— Waterloo, ON","Estimated: $89,849 - $113,769 a year"
Software Developer,Flanagan Foodservice,"— Kitchener, ON","Estimated: $63,404 - $80,283 a year"
Software Developer,Ricoh Canada,"— Kitchener, ON","Estimated: $84,461 - $106,946 a year"
Cloud Software Developer,HP,"— Kitchener, ON","Estimated: $99,722 - $126,270 a year"
"Software Developer III, Google Workspace",Google,"— Waterloo, ON",N/A
Software Developer,ISN Technologies,"— Waterloo, ON","Estimated: $75,118 - $95,116 a year"
Software Developer - AI Trainer (Contract),DataAnnotation,"— Waterloo, ON",$41 an hour
BI Report Developer-Decision Support,St. Mary’s General Hospital,"— Kitchener, ON",$37 - $47 an hour
"Senior Software Developer, Google Cloud Compute",Google,"— Kitchener, ON",N/A
Software Developer,SHOPEDGE SOFTWARE INC,"— Kitchener, ON","$85,000 - $110,000 a year"
Software Engineer Coop/Intern,Sandvine,"— Waterloo, ON","Estimated: $102,710 - $130,054 a year"
AI Software Development Engineer,"Musashi AI North America, Inc.","— Waterloo, ON","Estimated: $84,264 - $106,697 a year"
Software Quality Engineer,Sun Life,"— Waterloo, ON","$61,000 - $101,000 a year"
Quantum Navigation Software Engineer,Quantum Valley Ideas Lab,"— Waterloo, ON","$70,000 - $85,000 a year"
software engineer,NAVBLUE INC,"— Waterloo, ON","$70,000 - $110,000 a year"
Software Engineer,Bosch Group,"— Waterloo, ON","Estimated: $80,148 - $101,486 a year"
Software Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $68,117 - $86,251 a year"
Staff Software Developer,ApplyBoard,"— Kitchener, ON","Estimated: $80,805 - $102,318 a year"
Software Developer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $82,094 - $103,949 a year"
"Software Developer III, Google Cloud Data Management",Google,"— Waterloo, ON",N/A
Software Developer,MarshallZehr,"— Waterloo, ON","Estimated: $78,647 - $99,584 a year"
Software Developer,D2L,"— Kitchener, ON","Estimated: $89,321 - $113,100 a year"
"Intermediate Technology Specialist, Digital Developer",Equitable,"— Waterloo, ON","Estimated: $86,531 - $109,567 a year"
Staff DevOps Developer,Mappedin,"— Kitchener-Waterloo, ON","Estimated: $73,268 - $92,774 a year"
Senior Cloud Software Developer,Siemens,"— Kitchener, ON","Estimated: $99,267 - $125,694 a year"
Software Developer,D2L,"— Kitchener, ON","Estimated: $94,983 - $120,269 a year"
Full Stack Engineer,ENERZA,"— Waterloo, ON","Estimated: $81,053 - $102,632 a year"
Full Stack Developer,"Cloud DX, Inc.","— Kitchener, ON","Estimated: $84,746 - $107,308 a year"
Full-Stack Developer (Python),Descartes,"— Waterloo, ON","Estimated: $89,003 - $112,698 a year"
Sr. Application Developer,The Judge Group,"— Elmira, ON",N/A
Senior Software Developer,Geotab,"— Waterloo, ON","Estimated: $89,881 - $113,809 a year"
Java Developer (Backend),Prospect,"— Kitchener, ON","Estimated: $105,798 - $133,965 a year"
"Staff Software Engineer, Workspace Abuse and Safety Protections",Google,"— Waterloo, ON",N/A
Software Development Engineer in Test,Sun Life,"— Waterloo, ON","$61,000 - $101,000 a year"
Full stack developer (Remote),Applied Brain Research,"— Waterloo, ON","$70,000 - $100,000 a year"
Full Stack Web Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $63,620 - $80,557 a year"
Web Application Developer,Fivewalls,"— Waterloo, ON","Estimated: $67,100 - $84,964 a year"
Lead Software Developer,Open Text Corporation,"— Waterloo, ON","Estimated: $99,852 - $126,435 a year"
Software Engineer II,Sandvine,"— Waterloo, ON","Estimated: $99,767 - $126,327 a year"
IT Software Developer - (Salesforce),opentext,"— Waterloo, ON","Estimated: $84,511 - $107,010 a year"
Software Developer - Backend,Green Brick Labs,"— Kitchener, ON","Estimated: $50,677 - $64,169 a year"
Software Developer (Angular),Descartes,"— Waterloo, ON","Estimated: $80,088 - $101,409 a year"
Senior Software Developer - Full Stack,Camis,"— Guelph, ON","Estimated: $85,263 - $107,962 a year"
WordPress Developer,RKD Web Studios,"— Guelph, ON","Estimated: $64,142 - $81,218 a year"
Staff Software Developer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $105,998 - $134,217 a year"
Senior Integration Developer,Carta,"— Waterloo, ON","Estimated: $91,155 - $115,422 a year"
Full Stack Developer,Planitar Inc.,"— Waterloo, ON","Estimated: $84,743 - $107,304 a year"
C/C++ Software Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $86,516 - $109,548 a year"
"Android Kotlin Developer - Waterloo, Canada",Forhyre,"— Waterloo, ON","Estimated: $64,563 - $81,751 a year"
Frontend Software Developer - Intermediate,Moneris Solutions,— Ontario,"Estimated: $72,504 - $91,807 a year"
Jr. Application Developer,The Judge Group,"— Elmira, ON",N/A
Software Developer (Programmer/Analyst),Teledyne e2v Semiconductors,"— Waterloo, ON","Estimated: $63,567 - $80,490 a year"
Sr. Production Support Specialist,Open Text Corporation,"— Waterloo, ON","Estimated: $67,062 - $84,916 a year"
"Developer, Application Solutions",CAA North & East Ontario,— Ontario,N/A
Java Developer - Canadian Visa Sponsorship Global Talent Stream,Venuiti,"— Kitchener, ON","$90,000 a year"
Intermediate C++ Software Developer – Integrated Media Block,Christie Digital Systems Inc.,"— Kitchener, ON","Estimated: $87,571 - $110,884 a year"
Senior Software Developer - Quantum Compiler/Transpiler,Anyon Systems Inc.,"— Waterloo, ON","Estimated: $95,899 - $121,430 a year"
Software Engineering Manager,CEDENT,"— Waterloo, ON","Estimated: $102,184 - $129,388 a year"
Software Engineer,BicDroid Inc.,"— Waterloo, ON","Estimated: $80,288 - $101,663 a year"
Senior Software Developer,Dejero Labs Inc.,"— Waterloo, ON","Estimated: $99,018 - $125,379 a year"
WordPress Developer,RKD,"— Guelph, ON","Estimated: $70,359 - $89,090 a year"
Automation Engineer,Linamar Corp,"— Guelph, ON","Estimated: $63,807 - $80,794 a year"
Network Engineer - IT & Cloud Infrastructure,Siemens,"— Kitchener, ON","Estimated: $67,724 - $85,754 a year"
Sr. Software Developer,Open Text Corporation,"— Waterloo, ON","Estimated: $87,375 - $110,636 a year"
Senior Direct3D Software Developer,ALLUDO,"— Waterloo, ON","Estimated: $109,785 - $139,013 a year"
Software Engineer - Full Stack,MCAP,"— Waterloo, ON","Estimated: $88,820 - $112,466 a year"
Software Engineer,MealSuite,"— Kitchener, ON","Estimated: $90,091 - $114,076 a year"
"Senior Java Developer (onsite Cambridge, ON)",VectorVue,"— Kitchener-Waterloo, ON",N/A
Backend / Django Developer,Coulter Software Inc.,— Ontario,"$55,000 - $80,000 a year"
Java WebObjects Web Developer,LifeLearn,"— Guelph, ON","Estimated: $78,081 - $98,868 a year"
"Lead Technology Specialist, Digital Developer",Equitable,"— Waterloo, ON","Estimated: $100,782 - $127,613 a year"
AWS/DevOps Engineer,Venuiti,"— Kitchener, ON","$53,467 - $118,802 a year"
Software Deployment Engineer,Brock Solutions,"— Kitchener, ON","Estimated: $75,889 - $96,093 a year"
Build System Developer,MAXON Computer,"— Waterloo, ON","Estimated: $84,898 - $107,499 a year"
Production Support Specialist,Open Text Corporation,"— Waterloo, ON","Estimated: $53,157 - $67,309 a year"
FPGA Developer,Christie Digital,"— Kitchener, ON","Estimated: $82,097 - $103,953 a year"
Experienced Full Stack Web Developer,Boardera Software,"— Kitchener, ON","Estimated: $69,716 - $88,276 a year"
Senior Dotnet Developer,Ag Energy Co-operative Ltd.,"— Guelph, ON","Estimated: $102,924 - $130,324 a year"
"Developer, Power Platform",Addenda Capital,"— Guelph, ON","Estimated: $69,047 - $87,428 a year"
Business Analyst,Open Text Corporation,"— Waterloo, ON","Estimated: $73,381 - $92,917 a year"
Senior Software Engineer,NCR,"— Waterloo, ON","Estimated: $100,064 - $126,704 a year"
Software Engineering Manager,onsemi,"— Waterloo, ON","Estimated: $93,448 - $118,327 a year"
Controls Programmer (Lead),Prime Automation Inc,"— Waterloo, ON",N/A
Intermediate Control Systems Software Designer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $62,955 - $79,715 a year"
Project Manager,Ontario Health,— Ontario,"Estimated: $96,287 - $121,921 a year"
Staff Software Developer (Fleet Manager),OTTO Motors by Rockwell Automation,"— Kitchener, ON","Estimated: $110,029 - $139,321 a year"
Application Developer,Stantec,"— Waterloo, ON","Estimated: $94,215 - $119,297 a year"
Senior Software Developer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $119,813 - $151,711 a year"
Lead Software Engineer,Sun Life,"— Waterloo, ON","$82,000 - $135,000 a year"
"Intermediate Image Specialist, Product Developer",Christie Digital Systems Inc.,"— Kitchener, ON","Estimated: $66,061 - $83,648 a year"
Technical Support Specialist,Open Text Corporation,"— Waterloo, ON","Estimated: $52,041 - $65,896 a year"
IT Software Developer - (Salesforce),Open Text Corporation,"— Waterloo, ON","Estimated: $84,511 - $107,010 a year"
FPGA Developer,Christie Digital Systems Inc.,"— Kitchener, ON","Estimated: $82,333 - $104,252 a year"
"Intermediate Image Specialist, Product Developer",Christie Digital,"— Kitchener, ON","Estimated: $66,503 - $84,208 a year"
Senior Software Developer,D2L,"— Kitchener, ON","Estimated: $105,533 - $133,629 a year"
Lead Software Developer,opentext,"— Waterloo, ON","Estimated: $99,852 - $126,435 a year"
Senior Wordpress Developer for Ecommerce,Sienci Labs Inc.,"— Waterloo, ON","$60,000 - $85,000 a year"
Fullstack Senior Software Developer,Geotab,"— Waterloo, ON","Estimated: $89,815 - $113,725 a year"
Software Engineering Manager,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $97,356 - $123,275 a year"
"Product Developer, Software - Advanced Research",Christie Digital Systems Inc.,"— Kitchener, ON","Estimated: $76,644 - $97,048 a year"
Jr. Application Developer,The Judge Group,"— Elmira, ON",N/A
Senior Direct3D Software Developer,ALLUDO,"— Waterloo, ON","Estimated: $109,785 - $139,013 a year"
"Senior Software Engineer, Mobile (Android) - Remote/Hybrid",IMS,"— Waterloo, ON","Estimated: $93,765 - $118,728 a year"
IT/ Software Development Technology Consultant for Tax Incentives,KPMG,"— Waterloo, ON","Estimated: $57,375 - $72,650 a year"
DevOps Engineer,Palitronica Inc.,"— Waterloo, ON","Estimated: $97,397 - $123,327 a year"
"Manager, Software Development",D2L,"— Kitchener, ON","Estimated: $102,285 - $129,515 a year"
Senior Cloud Ops Engineer,Magnet Forensics,"— Waterloo, ON","Estimated: $106,188 - $134,458 a year"
Senior Software Developer,Brock Solutions,"— Kitchener, ON","Estimated: $100,193 - $126,867 a year"
Senior Java Developer,Descartes,"— Waterloo, ON","Estimated: $88,394 - $111,926 a year"
"Application Support Engineer, Cloud",Sun Life,"— Waterloo, ON","$82,000 - $135,000 a year"
Business Analyst,opentext,"— Waterloo, ON","Estimated: $73,381 - $92,917 a year"
Senior Dev Sec Ops Specialist,BlackBerry,"— Waterloo, ON","Estimated: $94,278 - $119,377 a year"
"Senior Staff Software Developer, Precision Health Platform",Verily,"— Waterloo, ON","Estimated: $110,286 - $139,646 a year"
Full Stack Engineer,Just Play Sports Solutions LLC,"— Kitchener, ON","Estimated: $85,716 - $108,535 a year"
Health Records Tech Coder,Grand River Hospital,"— Kitchener, ON","Estimated: $46,065 - $58,328 a year"
Electrical/Controls Developer,ISN Technologies,"— Waterloo, ON","Estimated: $75,447 - $95,532 a year"
CNC Programmer,Artco,"— Kitchener-Waterloo, ON","Estimated: $40,790 - $51,650 a year"
Automation Engineer,Nfinite Nanotech,"— Waterloo, ON","Estimated: $75,456 - $95,544 a year"
"Product Developer, Software - Advanced Research",Christie Digital,"— Kitchener, ON","Estimated: $78,402 - $99,275 a year"
Intermediate C++ Software Developer – Integrated Media Block,Christie Digital,"— Kitchener, ON","Estimated: $87,719 - $111,071 a year"
Associate Product Support Specialist,opentext,"— Waterloo, ON","Estimated: $52,799 - $66,856 a year"
Sr. Software Developer,opentext,"— Waterloo, ON","Estimated: $87,375 - $110,636 a year"
