Job Title,Company,Location,Estimated Salary
Software Developer,Titanium Agency Inc,"— Waterloo, ON",N/A
Back-end Software Engineer,Manulife,"— Waterloo, ON","Estimated: $101,964 - $129,109 a year"
Quantum Navigation Software Engineer,Quantum Valley Ideas Lab,"— Waterloo, ON","$70,000 - $85,000 a year"
Software Developer,SHOPEDGE SOFTWARE INC,"— Kitchener, ON","$85,000 - $110,000 a year"
"Staff Software Engineer, Workspace Abuse and Safety Protections",Google,"— Waterloo, ON",N/A
"Senior Software Developer, Google Cloud Compute",Google,"— Kitchener, ON",N/A
Software Developer,ISN Technologies,"— Waterloo, ON","Estimated: $75,118 - $95,116 a year"
Software Developer,Ricoh Canada,"— Kitchener, ON","Estimated: $84,461 - $106,946 a year"
Software Engineer,Bosch Group,"— Waterloo, ON","Estimated: $80,148 - $101,486 a year"
Senior Software Developer (Delphi),Descartes,"— Waterloo, ON","Estimated: $117,005 - $148,155 a year"
Software Engineer II,Sandvine,"— Waterloo, ON","Estimated: $99,767 - $126,327 a year"
software engineer,NAVBLUE INC,"— Waterloo, ON","$70,000 - $110,000 a year"
Software Developer,D2L,"— Kitchener, ON","Estimated: $94,983 - $120,269 a year"
Software Developer,MarshallZehr,"— Waterloo, ON","Estimated: $78,647 - $99,584 a year"
Backend Developer,Descartes,"— Waterloo, ON","Estimated: $87,257 - $110,487 a year"
Software Engineer Coop/Intern,Sandvine,"— Waterloo, ON","Estimated: $102,710 - $130,054 a year"
Software Developer,Flanagan Foodservice,"— Kitchener, ON","Estimated: $63,404 - $80,283 a year"
"Software Engineering Manager, Group Benefits",Manulife,"— Waterloo, ON","Estimated: $88,645 - $112,244 a year"
Software Test Engineer,Linamar Corp,"— Guelph, ON","Estimated: $78,451 - $99,336 a year"
Software Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $68,117 - $86,251 a year"
ReactJS Developer,Venuiti,"— Waterloo, ON","Estimated: $75,527 - $95,635 a year"
Software Developer (Angular),Descartes,"— Waterloo, ON","Estimated: $80,088 - $101,409 a year"
Full Stack Developer,"Cloud DX, Inc.","— Kitchener, ON","Estimated: $84,746 - $107,308 a year"
C/C++ Software Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $86,516 - $109,548 a year"
Business Analyst,Open Text Corporation,"— Waterloo, ON","Estimated: $73,381 - $92,917 a year"
.NET Software Developer,ISB Global Services,"— Guelph, ON","Estimated: $96,837 - $122,617 a year"
Senior Software Engineer,NCR,"— Waterloo, ON","Estimated: $100,064 - $126,704 a year"
Software Developer in Test,onsemi,"— Waterloo, ON","Estimated: $74,662 - $94,539 a year"
Full Stack Engineer,ENERZA,"— Waterloo, ON","Estimated: $81,053 - $102,632 a year"
"Staff Software Engineer, AppDev",Siemens,"— Kitchener, ON","Estimated: $107,458 - $136,065 a year"
Intermediate C++ Software Developer – Integrated Media Block,Christie Digital Systems Inc.,"— Kitchener, ON","Estimated: $87,571 - $110,884 a year"
Staff Software Developer,ApplyBoard,"— Kitchener, ON","Estimated: $80,805 - $102,318 a year"
Software Engineer - Full Stack,MCAP,"— Waterloo, ON","Estimated: $88,820 - $112,466 a year"
"Android Kotlin Developer - Waterloo, Canada",Forhyre,"— Waterloo, ON","Estimated: $64,563 - $81,751 a year"
Java Developer (Backend),Prospect,"— Kitchener, ON","Estimated: $105,798 - $133,965 a year"
Full stack developer (Remote),Applied Brain Research,"— Waterloo, ON","$70,000 - $100,000 a year"
"Intermediate Technology Specialist, Digital Developer",Equitable Life of Canada,"— Waterloo, ON","Estimated: $86,796 - $109,904 a year"
Full Stack Web Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $63,620 - $80,557 a year"
"Senior Software Developer, Networks, Google Cloud Business Platforms",Google,"— Waterloo, ON",N/A
Software Developer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $81,060 - $102,640 a year"
Software Engineer,MealSuite,"— Kitchener, ON","Estimated: $90,091 - $114,076 a year"
Technical Support Specialist,Open Text Corporation,"— Waterloo, ON","Estimated: $52,041 - $65,896 a year"
Software Engineer,BicDroid Inc.,"— Waterloo, ON","Estimated: $80,288 - $101,663 a year"
Senior Software Developer,Dejero Labs Inc.,"— Waterloo, ON","Estimated: $99,018 - $125,379 a year"
