Job Title,Company,Location,Estimated Salary
Software Developer,Titanium Agency Inc,"— Waterloo, ON",N/A
"Software Developer II, Site Reliability Development, Google Cloud",Google,"— Waterloo, ON",N/A
Software Test Engineer,Linamar Corp,"— Guelph, ON","Estimated: $78,451 - $99,336 a year"
Software Developer,ISN Technologies,"— Waterloo, ON","Estimated: $75,118 - $95,116 a year"
Quantum Navigation Software Engineer,Quantum Valley Ideas Lab,"— Waterloo, ON","$70,000 - $85,000 a year"
"Staff Software Engineer, Workspace Abuse and Safety Protections",Google,"— Waterloo, ON",N/A
Software Engineer,Bosch Group,"— Waterloo, ON","Estimated: $80,148 - $101,486 a year"
Software Developer,SHOPEDGE SOFTWARE INC,"— Kitchener, ON","$85,000 - $110,000 a year"
Senior Software Developer (Delphi),Descartes,"— Waterloo, ON","Estimated: $117,005 - $148,155 a year"
Software Developer in Test,onsemi,"— Waterloo, ON","Estimated: $74,662 - $94,539 a year"
Software Test Developer,D2L,"— Kitchener, ON","Estimated: $85,933 - $108,810 a year"
Software Engineer II,Sandvine,"— Waterloo, ON","Estimated: $99,767 - $126,327 a year"
FPGA Developer,Christie Digital,"— Kitchener, ON","Estimated: $82,097 - $103,953 a year"
Backend Developer,Descartes,"— Waterloo, ON","Estimated: $87,218 - $110,438 a year"
Full Stack Developer,"Cloud DX, Inc.","— Kitchener, ON","Estimated: $84,746 - $107,308 a year"
Software Developer - Backend,Green Brick Labs,"— Kitchener, ON","Estimated: $50,677 - $64,169 a year"
ReactJS Developer,Venuiti,"— Waterloo, ON","Estimated: $75,527 - $95,635 a year"
"Senior Staff Software Specialist, Google Cloud",Google,"— Waterloo, ON",N/A
Software Engineer Coop/Intern,Sandvine,"— Waterloo, ON","Estimated: $102,710 - $130,054 a year"
Software Developer,D2L,"— Kitchener, ON","Estimated: $89,321 - $113,100 a year"
Software Developer,Flanagan Foodservice,"— Kitchener, ON","Estimated: $63,404 - $80,283 a year"
Software Developer,MarshallZehr,"— Waterloo, ON","Estimated: $78,647 - $99,584 a year"
Software Developer (Angular),Descartes,"— Waterloo, ON","Estimated: $80,088 - $101,409 a year"
Software Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $60,513 - $76,623 a year"
Software Engineer,MealSuite,"— Kitchener, ON","Estimated: $90,091 - $114,076 a year"
Software Developer,Brock Solutions,"— Kitchener, ON","Estimated: $85,753 - $108,582 a year"
Software Developer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $81,060 - $102,640 a year"
C/C++ Software Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $84,611 - $107,136 a year"
Embedded Software Engineer,Linamar Corp,"— Guelph, ON","Estimated: $78,608 - $99,536 a year"
"Senior Software Developer, Networks, Google Cloud Business Platforms",Google,"— Waterloo, ON",N/A
"Senior Technology Specialist, Digital Developer",Equitable Life of Canada,"— Waterloo, ON","Estimated: $88,457 - $112,007 a year"
Senior Software Developer,Dejero Labs Inc.,"— Waterloo, ON","Estimated: $99,018 - $125,379 a year"
Cloud Platform Engineer,Manulife,"— Waterloo, ON","Estimated: $86,965 - $110,118 a year"
Full stack developer (Remote),Applied Brain Research,"— Waterloo, ON","$70,000 - $100,000 a year"
Senior Software Engineer,Sun Life,"— Waterloo, ON","$82,000 - $135,000 a year"
Senior Software Engineer,NCR,"— Waterloo, ON","Estimated: $100,064 - $126,704 a year"
IT Software Developer - (Salesforce),opentext,"— Waterloo, ON","Estimated: $92,295 - $116,867 a year"
"Software Developer III, Infrastructure, Google Cloud Data Management",Google,"— Waterloo, ON",N/A
"Cloud Technical Solutions Developer, Billing",Google,"— Waterloo, ON",N/A
Full Stack Web Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $54,981 - $69,618 a year"
Software Engineering Manager,CEDENT,"— Waterloo, ON","Estimated: $102,184 - $129,388 a year"
"Software Engineering Manager, Group Benefits",Manulife,"— Waterloo, ON","Estimated: $88,645 - $112,244 a year"
AWS/DevOps Engineer,Venuiti,"— Kitchener, ON","$53,467 - $118,802 a year"
Senior Software Developer - Quantum Compiler/Transpiler,Anyon Systems Inc.,"— Waterloo, ON","Estimated: $95,899 - $121,430 a year"
Experienced Full Stack Web Developer,Boardera Software,"— Kitchener, ON","Estimated: $77,187 - $97,736 a year"
Software Engineer,BicDroid Inc.,"— Waterloo, ON","Estimated: $75,103 - $95,098 a year"
"Software Developer III, Google Cloud Networking",Google,"— Waterloo, ON",N/A
Software Engineer,MaxSys Staffing & Consulting,"— Waterloo, ON",$72 an hour
Software Test Automation Engineer,Nicoya,"— Kitchener, ON","Estimated: $95,059 - $120,366 a year"
Web Developer,University of Waterloo,"— Waterloo, ON","Estimated: $83,252 - $105,416 a year"
Intermediate Software Developer,Geotab,"— Waterloo, ON","Estimated: $89,506 - $113,334 a year"
CNC 5th Axis Machinist/Programmer,Novy Manufacturing Inc.,"— Waterloo, ON",$30 - $35 an hour
Staff Software Developer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $105,998 - $134,217 a year"
"Senior Java Developer (onsite Cambridge, ON)",VectorVue,"— Kitchener-Waterloo, ON",N/A
Software Engineer - Full Stack,MCAP,"— Waterloo, ON","Estimated: $88,820 - $112,466 a year"
Web Application Developer,Fivewalls,"— Waterloo, ON","Estimated: $67,100 - $84,964 a year"
Staff Software Developer,ApplyBoard,"— Kitchener, ON","Estimated: $80,805 - $102,318 a year"
C++ Developer - Low Level - Canada,GTS,"— Kitchener, ON","Estimated: $90,620 - $114,745 a year"
.NET Mobile Developer,Semex,"— Guelph, ON","Estimated: $81,110 - $102,704 a year"
Senior Software Engineer,Carta,"— Waterloo, ON","Estimated: $104,700 - $132,574 a year"
"Senior Software Developer, Google Cloud Compute",Google,"— Kitchener, ON",N/A
"Android Kotlin Developer - Waterloo, Canada",Forhyre,"— Waterloo, ON","Estimated: $64,563 - $81,751 a year"
Remote - Delta V Programmer/Engineer,CAC Staffing,— Ontario,$70 - $80 an hour
Staff DevOps Developer,Mappedin,"— Kitchener-Waterloo, ON","Estimated: $73,268 - $92,774 a year"
Senior DevOps Developer,OTTO Motors by Rockwell Automation,"— Kitchener, ON","Estimated: $106,499 - $134,851 a year"
Java Developer - Canadian Visa Sponsorship Global Talent Stream,Venuiti,"— Kitchener, ON","$90,000 a year"
Intermediate Software Developer (Remote),DriverCheck Inc.,"— Kitchener, ON","Estimated: $111,358 - $141,005 a year"
Senior Software Developer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $119,813 - $151,711 a year"
IT Software Developer - (Salesforce),Open Text Corporation,"— Waterloo, ON","Estimated: $92,295 - $116,867 a year"
Intermediate C++ Software Developer – Integrated Media Block,Christie Digital Systems Inc.,"— Kitchener, ON","Estimated: $87,571 - $110,884 a year"
Staff Software Developer (Fleet Manager),OTTO Motors by Rockwell Automation,"— Kitchener, ON","Estimated: $110,029 - $139,321 a year"
CNC Mill Programmer/Machinist,Novy Manufacturing Inc.,"— Waterloo, ON",$28 - $34 an hour
Full Stack Developer,Planitar Inc.,"— Waterloo, ON","Estimated: $84,743 - $107,304 a year"
Software Deployment Engineer,Brock Solutions,"— Kitchener, ON","Estimated: $75,889 - $96,093 a year"
Sr. Software Engineer,MCAP,"— Waterloo, ON","Estimated: $97,165 - $123,032 a year"
Jr. Application Developer,The Judge Group,"— Elmira, ON",N/A
Senior Software Developer,D2L,"— Kitchener, ON","Estimated: $105,533 - $133,629 a year"
Software Developer (Programmer/Analyst),Teledyne e2v Semiconductors,"— Waterloo, ON","Estimated: $63,567 - $80,490 a year"
"Lead Technology Specialist, Digital Developer",Equitable Life of Canada,"— Waterloo, ON","Estimated: $100,782 - $127,613 a year"
"Senior Software Engineer, Mobile (Android) - Remote/Hybrid",IMS,"— Waterloo, ON","Estimated: $93,765 - $118,728 a year"
Senior Software Developer,Brock Solutions,"— Kitchener, ON","Estimated: $100,193 - $126,867 a year"
CNC Programmer,Artco,"— Kitchener-Waterloo, ON","Estimated: $40,790 - $51,650 a year"
"Software Developer III, Google Cloud Platform AI and Industry Solutions",Google,"— Waterloo, ON",N/A
Project Manager,Ontario Health,— Ontario,"Estimated: $96,287 - $121,921 a year"
Senior Wordpress Developer for Ecommerce,Sienci Labs Inc.,"— Waterloo, ON","$60,000 - $85,000 a year"
"Software Developer III, Google Cloud Data Management",Google,"— Waterloo, ON",N/A
Software Engineering Manager,onsemi,"— Waterloo, ON","Estimated: $93,448 - $118,327 a year"
"Product Developer, Software - Advanced Research",Christie Digital,"— Kitchener, ON","Estimated: $78,402 - $99,275 a year"
"Product Developer, Software - Advanced Research",Christie Digital Systems Inc.,"— Kitchener, ON","Estimated: $76,644 - $97,048 a year"
Fullstack Senior Software Developer,Geotab,"— Waterloo, ON","Estimated: $89,815 - $113,725 a year"
"Sr. Director, IT PMO",opentext,"— Waterloo, ON","Estimated: $108,651 - $137,576 a year"
Java WebObjects Web Developer,LifeLearn,"— Guelph, ON","Estimated: $78,081 - $98,868 a year"
Senior Software Developer,Geotab,"— Waterloo, ON","Estimated: $93,651 - $118,584 a year"
Automation Engineer,Linamar Corp,"— Guelph, ON","Estimated: $63,807 - $80,794 a year"
IT/ Software Development Technology Consultant for Tax Incentives,KPMG,"— Waterloo, ON","Estimated: $57,375 - $72,650 a year"
Full Stack Engineer,Just Play Sports Solutions LLC,"— Kitchener, ON","Estimated: $85,716 - $108,535 a year"
Lead Privacy Analyst,opentext,"— Waterloo, ON","Estimated: $76,506 - $96,874 a year"
Senior Simulation Developer,OTTO Motors by Rockwell Automation,"— Kitchener, ON","Estimated: $94,378 - $119,504 a year"
"Developer, Power Platform",Addenda Capital,"— Guelph, ON","Estimated: $69,047 - $87,428 a year"
Build System Developer,MAXON Computer,"— Waterloo, ON","Estimated: $84,898 - $107,499 a year"
Automation Engineer,Nfinite Nanotech,"— Kitchener, ON","$70,000 - $80,000 a year"
Principal Network Specialist,opentext,"— Waterloo, ON","Estimated: $76,996 - $97,494 a year"
Intermediate C++ Software Developer – Integrated Media Block,Christie Digital,"— Kitchener, ON","Estimated: $87,719 - $111,071 a year"
