Job Title,Company,Location,Min Salary,Max Salary
Software Developer,Titanium Agency Inc,"Waterloo, ON",,
Software Developer,ISN Technologies,"Waterloo, ON",75118,95116
Intermediate Software Developer (Back End - Java),Power TakeOff,"Kitchener, ON",80000,95000
Software Developer,SHOPEDGE SOFTWARE INC,"Kitchener, ON",85000,110000
Cloud Platform Engineer,Manulife,"Waterloo, ON",86965,110118
ReactJS Developer,Venuiti,"Waterloo, ON",75527,95635
Software Developer,D2L,"Kitchener, ON",94983,120269
Quantum Navigation Software Engineer,Quantum Valley Ideas Lab,"Waterloo, ON",70000,85000
Jr. Web Development Training & Internship,Prepr,"Guelph, ON",,
Staff Software Developer,ATS Automation Tooling Systems,"Cambridge, ON",105998,134217
Software Developer,MarshallZehr,"Waterloo, ON",78647,99584
Senior Software Developer (Delphi),Descartes,"Waterloo, ON",117005,148155
Software Developer in Test,onsemi,"Waterloo, ON",74156,93898
Software Developer,Flanagan Foodservice,"Kitchener, ON",63404,80283
"Software Engineering Manager, Group Benefits",Manulife,"Waterloo, ON",88645,112244
Software Developer (Angular),Descartes,"Waterloo, ON",80088,101409
Full Stack Developer,"Cloud DX, Inc.","Kitchener, ON",84746,107308
Staff Software Developer,ApplyBoard,"Kitchener, ON",80805,102318
Web Developer,University of Waterloo,"Waterloo, ON",83252,105416
Full stack developer (Remote),Applied Brain Research,"Waterloo, ON",70000,100000
Software Developer (.NET),Descartes,"Waterloo, ON",82147,104016
CNC Programmer,Artco,"Kitchener, ON",40790,51650
Software Developer,BicDroid Inc.,"Waterloo, ON",60513,76623
Backend Developer,Descartes,"Waterloo, ON",87218,110438
Software Developer,ATS Automation Tooling Systems,"Cambridge, ON",82094,103949
Software Engineer - Design Verification,Ford Motor Company,"Waterloo, ON",85527,108296
"Staff Software Engineer, Workspace Abuse and Safety Protections",Google,"Waterloo, ON",,
Software Engineer Coop/Intern,Sandvine,"Waterloo, ON",102710,130054
Software Developer,Brock Solutions,"Kitchener, ON",85753,108582
Software Engineer (Front End Web Application - Angular),Power TakeOff,"Kitchener, ON",80000,95000
Software Engineering Manager,CEDENT,"Waterloo, ON",102184,129388
Software Developer - Backend,Green Brick Labs,"Kitchener, ON",50677,64169
C/C++ Software Developer,BicDroid Inc.,"Waterloo, ON",84611,107136
"Product Developer, Software - Advanced Research",Christie Digital Systems Inc.,"Kitchener, ON",76644,97048
Intermediate Software Developer,Geotab,"Waterloo, ON",89506,113334
Java WebObjects Web Developer,LIFELEARN,"Guelph, ON",86595,109648
Lead Software Developer,Euna Solutions,"Kitchener, ON",119935,151864
Software Developer (Programmer/Analyst),Teledyne e2v Semiconductors,"Waterloo, ON",63567,80490
IT Software Developer - (Salesforce),opentext,"Waterloo, ON",92295,116867
Software Test Automation Engineer,Nicoya,"Kitchener, ON",95059,120366
Senior Java Developer,Descartes,"Waterloo, ON",88394,111926
