Job Title,Company,Location,Estimated Salary
Software Engineer (Front End Web Application - Angular),Power TakeOff,"— Kitchener, ON","$80,000 - $95,000 a year"
Software Engineering Manager,CEDENT,"— Waterloo, ON","Estimated: $102,184 - $129,388 a year"
Software Developer - Backend,Green Brick Labs,"— Kitchener, ON","Estimated: $50,677 - $64,169 a year"
C/C++ Software Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $84,611 - $107,136 a year"
"Product Developer, Software - Advanced Research",Christie Digital Systems Inc.,"— Kitchener, ON","Estimated: $76,644 - $97,048 a year"
Intermediate Software Developer,Geotab,"— Waterloo, ON","Estimated: $89,506 - $113,334 a year"
Java WebObjects Web Developer,LIFELEARN,"— Guelph, ON","Estimated: $86,595 - $109,648 a year"
Lead Software Developer,Euna Solutions,"— Kitchener, ON","Estimated: $119,935 - $151,864 a year"
Software Developer (Programmer/Analyst),Teledyne e2v Semiconductors,"— Waterloo, ON","Estimated: $63,567 - $80,490 a year"
IT Software Developer - (Salesforce),opentext,"— Waterloo, ON","Estimated: $92,295 - $116,867 a year"
Software Test Automation Engineer,Nicoya,"— Kitchener, ON","Estimated: $95,059 - $120,366 a year"
Senior Java Developer,Descartes,"— Waterloo, ON","Estimated: $88,394 - $111,926 a year"
Experienced Full Stack Web Developer,Boardera Software,"— Kitchener, ON","Estimated: $77,187 - $97,736 a year"
Software Engineering Manager,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $97,356 - $123,275 a year"
.NET Mobile Developer,Semex,"— Guelph, ON","Estimated: $81,110 - $102,704 a year"
Machine Learning Engineer,Equitable Life of Canada,"— Waterloo, ON","Estimated: $79,985 - $101,279 a year"
Full Stack Web Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $54,981 - $69,618 a year"
AWS/DevOps Engineer,Venuiti,"— Kitchener, ON","$53,467 - $118,802 a year"
Software Engineer,Bosch Group,"— Waterloo, ON","Estimated: $80,148 - $101,486 a year"
"Senior Java Developer (onsite Cambridge, ON)",VectorVue,"— Kitchener-Waterloo, ON",N/A
Software Engineer,BicDroid Inc.,"— Waterloo, ON","Estimated: $75,103 - $95,098 a year"
"Senior Staff Software Developer, Precision Health Platform",Verily,"— Waterloo, ON","Estimated: $110,286 - $139,646 a year"
"Product Developer, Software - Advanced Research",Christie Digital,"— Kitchener, ON","Estimated: $78,402 - $99,275 a year"
Software Engineer - Full Stack,MCAP,"— Waterloo, ON","Estimated: $88,820 - $112,466 a year"
Senior Software Developer - Quantum Compiler/Transpiler,Anyon Systems Inc.,"— Waterloo, ON","Estimated: $95,899 - $121,430 a year"
"Senior Software Developer, Precision Health Platform, Workflows",Verily,"— Waterloo, ON","Estimated: $97,031 - $122,862 a year"
Senior Software Developer,Geotab,"— Waterloo, ON","Estimated: $93,651 - $118,584 a year"
Automation Engineer,Nfinite Nanotech,"— Kitchener, ON","$70,000 - $80,000 a year"
C++ Developer - Low Level - Canada,GTS,"— Kitchener, ON","Estimated: $90,620 - $114,745 a year"
Principal Software Developer,opentext,"— Waterloo, ON","Estimated: $84,110 - $106,502 a year"
Customer Support Representative,opentext,"— Waterloo, ON","Estimated: $39,388 - $49,875 a year"
Full Stack Developer,Planitar Inc.,"— Waterloo, ON","Estimated: $84,743 - $107,304 a year"
Senior Software Engineer,Sun Life,"— Waterloo, ON","$82,000 - $135,000 a year"
Software Engineer Senior,Altair Engineering,"— Waterloo, ON","Estimated: $119,628 - $151,476 a year"
Intermediate C++ Software Developer – Integrated Media Block,Christie Digital Systems Inc.,"— Kitchener, ON","Estimated: $87,571 - $110,884 a year"
Web Application Developer,Fivewalls,"— Waterloo, ON","Estimated: $67,100 - $84,964 a year"
Software Engineer,MealSuite,"— Kitchener, ON","Estimated: $90,091 - $114,076 a year"
Sr. Software Developer,opentext,"— Waterloo, ON","Estimated: $95,129 - $120,454 a year"
IT/ Software Development Technology Consultant for Tax Incentives,KPMG,"— Waterloo, ON","Estimated: $57,375 - $72,650 a year"
Monitoring Tools Specialist (Sitescope+),opentext,"— Waterloo, ON","Estimated: $58,861 - $74,531 a year"
Fullstack Senior Software Developer,Geotab,"— Waterloo, ON","Estimated: $89,815 - $113,725 a year"
Educational Developer,University of Waterloo,"— Waterloo, ON","Estimated: $79,048 - $100,092 a year"
IT Software Developer - (Salesforce),Open Text Corporation,"— Waterloo, ON","Estimated: $92,295 - $116,867 a year"
Senior Software Developer,D2L,"— Kitchener, ON","Estimated: $105,533 - $133,629 a year"
Intermediate C++ Software Developer – Integrated Media Block,Christie Digital,"— Kitchener, ON","Estimated: $87,719 - $111,071 a year"
CNC Programmer,Héroux-Devtek Inc.,"— Kitchener, ON","Estimated: $60,055 - $76,043 a year"
"Manager, Software Development",D2L,"— Kitchener, ON","Estimated: $102,763 - $130,122 a year"
PLC Programmer/Systems Integrator,Trited Innovation Inc-ONTARIO,"— Kitchener-Waterloo, ON","Estimated: $55,976 - $70,878 a year"
Senior Software Developer (C#/C++),Virtek Vision,"— Waterloo, ON","Estimated: $104,207 - $131,950 a year"
"Software Developer III, Google Cloud Networking",Google,"— Waterloo, ON",N/A
Software Deployment Engineer,Brock Solutions,"— Kitchener, ON","Estimated: $75,889 - $96,093 a year"
Full Stack Engineer,Just Play Sports Solutions LLC,"— Kitchener, ON","Estimated: $85,716 - $108,535 a year"
Principal Cloud Engineer,BMO Financial Group,— Ontario,"Estimated: $112,974 - $143,051 a year"
Software Engineering Manager,onsemi,"— Waterloo, ON","Estimated: $104,090 - $131,801 a year"
Java Developer - Canadian Visa Sponsorship Global Talent Stream,Venuiti,"— Kitchener, ON","$90,000 a year"
Sage People Software Developer - Contract,Compugen Inc,— Ontario,N/A
Customer Support Representative,Open Text Corporation,"— Waterloo, ON","Estimated: $39,388 - $49,875 a year"
Associate Product Support Specialist,opentext,"— Waterloo, ON","Estimated: $52,799 - $66,856 a year"
Intermediate Software Developer (Remote),DriverCheck Inc.,"— Kitchener, ON","Estimated: $111,358 - $141,005 a year"
Associate Product Support Specialist,Open Text Corporation,"— Waterloo, ON","Estimated: $52,799 - $66,856 a year"
Senior Software Engineer,NCR,"— Waterloo, ON","Estimated: $100,064 - $126,704 a year"
Senior Software Developer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $119,813 - $151,711 a year"
Senior DevOps Developer,Clearpath Inc.,"— Kitchener, ON","Estimated: $106,499 - $134,851 a year"
Web Developer II (AEM Architect),BlackBerry,"— Waterloo, ON","Estimated: $83,601 - $105,858 a year"
"Director, Global Talent Operations",opentext,"— Waterloo, ON","Estimated: $114,784 - $145,342 a year"
"Lead Technology Specialist, Digital Developer",Equitable Life of Canada,"— Waterloo, ON","Estimated: $100,782 - $127,613 a year"
Vulkan Graphics Engineer - Global Remote,CoreAVI,"— Waterloo, ON","Estimated: $99,086 - $125,465 a year"
"Cloud Technical Solutions Developer, Billing",Google,"— Waterloo, ON",N/A
FPGA Developer,Christie Digital,"— Kitchener, ON","Estimated: $82,097 - $103,953 a year"
"Product Manager, Google Cloud",Google,"— Waterloo, ON",N/A
"Senior Software Engineer - Risk Controls, Health",Cash App,"— Waterloo, ON","Estimated: $141,237 - $178,838 a year"
Sr. Application Developer,The Judge Group,"— Elmira, ON",N/A
Staff Software Developer (Fleet Manager),Clearpath Inc.,"— Kitchener, ON","Estimated: $110,029 - $139,321 a year"
Business Development Manager,MEDA,"— Waterloo, ON","Estimated: $79,422 - $100,566 a year"
Test Automation Developer - Winter 2024 Co-op/Intern,Definity Financial Corporation,"— Kitchener, ON","Estimated: $60,630 - $76,771 a year"
Control Systems Software Designer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $62,955 - $79,715 a year"
Java Engineer (Backend),Prospect,"— Waterloo, ON","$80,000 - $90,000 a year"
Senior Software Engineer iOS,IMS,"— Waterloo, ON","Estimated: $98,908 - $125,240 a year"
Electrical/Controls Developer,ISN Technologies,"— Waterloo, ON","Estimated: $75,447 - $95,532 a year"
Senior Wordpress Developer for Ecommerce,Sienci Labs Inc.,"— Waterloo, ON","$60,000 - $85,000 a year"
Senior Software Engineer,Carta,"— Waterloo, ON","Estimated: $104,700 - $132,574 a year"
Senior Software Developer,Brock Solutions,"— Kitchener, ON","Estimated: $100,193 - $126,867 a year"
Build System Developer,MAXON Computer,"— Waterloo, ON","Estimated: $84,898 - $107,499 a year"
Software Development Team Lead,RWDI,"— Guelph, ON","Estimated: $112,306 - $142,204 a year"
Senior Site Reliability Engineering Developer (DevOps),Encircle,"— Kitchener, ON","Estimated: $163,309 - $206,785 a year"
Staff DevOps Engineer,Mappedin,"— Kitchener-Waterloo, ON","Estimated: $75,992 - $96,223 a year"
Senior Business Intelligence (BI) Developer - MicroStrategy,Procom,— Ontario,N/A
CNC programmer,Aversan,"— Waterloo, ON","Estimated: $70,211 - $88,903 a year"
Sr. Software Engineer,MCAP,"— Waterloo, ON","Estimated: $97,165 - $123,032 a year"
Monitoring Tools Specialist (Sitescope+),Open Text Corporation,"— Waterloo, ON","Estimated: $58,861 - $74,531 a year"
Unreal Engine C++ Developer II - SDK,Mawari,"— Waterloo, ON","Estimated: $95,624 - $121,082 a year"
Staff Machine Learning Developer,FullStory,"— Waterloo, ON","Estimated: $101,315 - $128,287 a year"
"Director, Global Talent Operations",Open Text Corporation,"— Waterloo, ON","Estimated: $114,784 - $145,342 a year"
Software Developer,Magnet Forensics,"— Waterloo, ON","Estimated: $74,485 - $94,315 a year"
Senior Cloud Engineer,Ontario Health,— Ontario,"Estimated: $92,823 - $117,535 a year"
Senior Dev Sec Ops Specialist,BlackBerry,"— Waterloo, ON","Estimated: $94,278 - $119,377 a year"
23-101 Full Stack Developer,Raise,— Ontario,"Estimated: $88,707 - $112,323 a year"
CNC Programmer,The Bamco Group,"— Guelph, ON",$23 - $27 an hour
Principal Software Developer,Open Text Corporation,"— Waterloo, ON","Estimated: $84,110 - $106,502 a year"
computer numerical control (CNC) programmer,Heroux Devtek,"— Kitchener, ON","$70,000 - $85,000 a year"
"Senior Software Developer, Google Cloud Compute",Google,"— Kitchener, ON",N/A
Principal IT Software Engineer,Open Text Corporation,"— Waterloo, ON","Estimated: $90,589 - $114,706 a year"
Sr. Systems Analyst - IAM,opentext,"— Waterloo, ON","Estimated: $73,009 - $92,446 a year"
CNC Mill Programmer/Machinist,Novy Manufacturing Inc.,"— Waterloo, ON",$28 - $34 an hour
Senior Direct3D Software Developer,ALLUDO,"— Waterloo, ON","Estimated: $109,785 - $139,013 a year"
"Advisor, Business Development (University of Waterloo)",Mitacs,"— Waterloo, ON","Estimated: $83,063 - $105,177 a year"
Software Engineer – DevOps,Magnet Forensics,"— Waterloo, ON","Estimated: $81,036 - $102,610 a year"
Senior Software Engineer (java/Kafka),Sun Life,"— Waterloo, ON","$82,000 - $135,000 a year"
Senior Software Developer,Euna Solutions,"— Kitchener, ON","Estimated: $100,683 - $127,487 a year"
"Senior Software Engineer, RippleNet Payments",Ripple Labs,"— Kitchener, ON","Estimated: $114,519 - $145,006 a year"
Software Developer Licensing Team,Magnet Forensics,"— Waterloo, ON","Estimated: $89,397 - $113,197 a year"
Application Developer,Stantec,"— Waterloo, ON","Estimated: $94,215 - $119,297 a year"
Lead Embedded Software Developer,Molex,"— Waterloo, ON","Estimated: $102,585 - $129,896 a year"
Staff Perception Developer - Localization and Mapping,Clearpath Inc.,"— Kitchener, ON","Estimated: $99,096 - $125,478 a year"
Senior Cloud Engineer,Sun Life,"— Waterloo, ON","$82,000 - $135,000 a year"
"Chief Architect, Cloud & Cybersecurity","Canon Medical Informatics, Inc.","— Waterloo, ON","Estimated: $77,166 - $97,710 a year"
Business Development Specialist,BicDroid Inc.,"— Waterloo, ON","Estimated: $64,477 - $81,642 a year"
"Senior Software Developer, Networks, Google Cloud Business Platforms",Google,"— Waterloo, ON",N/A
Controls System Software Designer- Senior,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $73,339 - $92,863 a year"
Senior Software Architect,Dejero Labs Inc.,"— Waterloo, ON","Estimated: $97,782 - $123,813 a year"
Senior Solution Architect (Hybrid Cloud),BMO Financial Group,— Ontario,"Estimated: $99,502 - $125,992 a year"
Senior/Intermediate Unix/Linux Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $74,269 - $94,042 a year"
Master Data Management - Data/Process Analyst,opentext,"— Waterloo, ON","Estimated: $86,934 - $110,077 a year"
Sr. Systems Analyst - IAM,Open Text Corporation,"— Waterloo, ON","Estimated: $73,009 - $92,446 a year"
Control Systems Developer (B&R Automation Specialist),ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $69,842 - $88,436 a year"
"Lead Software Engineer, Operations",Sun Life,"— Waterloo, ON","$82,000 - $135,000 a year"
Senior DevOps Engineer,ISG Search Inc,— Canada,"Estimated: $98,974 - $125,323 a year"
"Sr. Director, IT PMO",opentext,"— Waterloo, ON","Estimated: $108,651 - $137,576 a year"
Lead Privacy Analyst,opentext,"— Waterloo, ON","Estimated: $76,506 - $96,874 a year"
Senior Controls System Software Designer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $71,279 - $90,255 a year"
Sr. Software Developer- Short-term Contract,ApplyBoard,"— Kitchener, ON","Estimated: $77,458 - $98,079 a year"
Senior Simulation Developer,Clearpath Inc.,"— Kitchener, ON","Estimated: $94,378 - $119,504 a year"
Lead Technology Risk & Disaster Recovery Analyst(Workers Council),opentext,"— Waterloo, ON","Estimated: $66,057 - $83,643 a year"
CNC 5th Axis Machinist/Programmer,Novy Manufacturing Inc.,"— Waterloo, ON",$28 - $34 an hour
Senior Software Developer,Magnet Forensics,"— Waterloo, ON","Estimated: $92,563 - $117,205 a year"
Engineering Communications Education Developer,University of Waterloo,"— Waterloo, ON","Estimated: $74,452 - $94,273 a year"
CNC Lathe Machinist/Programmer,Novy Manufacturing Inc.,"— Waterloo, ON",$28 - $34 an hour
Health Records Tech Coder,Grand River Hospital,"— Kitchener, ON","Estimated: $46,065 - $58,328 a year"
Senior Industrial Simulation Developer,Clearpath Inc.,"— Kitchener, ON","Estimated: $87,699 - $111,046 a year"
Master Data Management - Data/Process Analyst,Open Text Corporation,"— Waterloo, ON","Estimated: $86,934 - $110,077 a year"
Temenos T24 Developer (Remote),HVN Solutions,"— Waterloo, ON","Estimated: $106,539 - $134,902 a year"
"Lead Developer/Team Lead - MS Stack (Dynamics, Power Platform)",Mayk Ideas,"— Kitchener-Waterloo, ON","Estimated: $80,581 - $102,034 a year"
Principal Security Compliance Analyst - Compliance Strategy,opentext,"— Waterloo, ON","Estimated: $76,187 - $96,470 a year"
Sr. Client Manager,Open Text Corporation,"— Waterloo, ON","Estimated: $83,619 - $105,881 a year"
Sr. Site Reliability Administrator,Open Text Corporation,"— Waterloo, ON","Estimated: $97,291 - $123,192 a year"
Business Development Representative,The Syscomm Group,"— Waterloo, ON","Estimated: $50,183 - $63,543 a year"
Software Developer,Ontario Health,— Ontario,"Estimated: $86,598 - $109,653 a year"
Sr. Client Manager,opentext,"— Waterloo, ON","Estimated: $83,619 - $105,881 a year"
2024 Research Scientist at Perimeter Institute (CHORD radio telescope),Perimeter Institute for Theoretical Physics,"— Waterloo, ON","$95,000 a year"
"Senior Team Lead, Software Development",Geotab,"— Waterloo, ON","Estimated: $107,422 - $136,020 a year"
Senior Perception Developer - Calibration and Sensors,Clearpath Inc.,"— Kitchener, ON","Estimated: $99,139 - $125,532 a year"
Lead Technology Risk & Disaster Recovery Analyst(Workers Council),Open Text Corporation,"— Waterloo, ON","Estimated: $66,057 - $83,643 a year"
Lead Privacy Analyst,Open Text Corporation,"— Waterloo, ON","Estimated: $76,506 - $96,874 a year"
Lead Systems Analyst,Open Text Corporation,"— Waterloo, ON","Estimated: $92,034 - $116,535 a year"
Sr. Site Reliability Administrator,opentext,"— Waterloo, ON","Estimated: $97,291 - $123,192 a year"
Sr. Principal Software Architect,Open Text Corporation,"— Waterloo, ON","Estimated: $111,782 - $141,540 a year"
Senior ASP.NET Application Developer,RKD Web Studios,"— Guelph, ON","Estimated: $72,638 - $91,976 a year"
"Sr. Director, IT PMO",Open Text Corporation,"— Waterloo, ON","Estimated: $108,651 - $137,576 a year"
Lead Software Engineer,Sun Life,"— Waterloo, ON","$82,000 - $135,000 a year"
Senior Monitoring Specialist (Sitescope),Open Text Corporation,"— Waterloo, ON","Estimated: $77,886 - $98,621 a year"
Senior Cloud Security Operations Engineer - Remote,Revvity,"— Guelph, ON","Estimated: $118,613 - $150,190 a year"
Job Developer/Employment Counsellor,2nd Chance Employment Counselling,"— Guelph, ON",N/A
Sr. Principal Software Architect,opentext,"— Waterloo, ON","Estimated: $111,782 - $141,540 a year"
Senior Mobile Developer,Sun Life,"— Waterloo, ON","$82,000 - $135,000 a year"
"Senior .Net Full Stack Developer (onsite Cambridge, ON)",VectorVue,"— Kitchener-Waterloo, ON",N/A
FPGA Developer,Christie Digital Systems Inc.,"— Kitchener, ON","Estimated: $82,333 - $104,252 a year"
Principal Security Compliance Analyst - Compliance Strategy,Open Text Corporation,"— Waterloo, ON","Estimated: $76,187 - $96,470 a year"
Principal Network Specialist,Open Text Corporation,"— Waterloo, ON","Estimated: $76,996 - $97,494 a year"
Sr. Software Developer,Open Text Corporation,"— Waterloo, ON","Estimated: $95,129 - $120,454 a year"
Lead Network Administrator,Open Text Corporation,"— Waterloo, ON","Estimated: $91,271 - $115,569 a year"
Principal GCP Cloud Solutions Architect,opentext,"— Waterloo, ON","Estimated: $74,417 - $94,228 a year"
CNC Programmer/Setter/Operator,Trited Innovation Inc-Cambridge - ONTARIO,"— Guelph, ON",$22 - $30 an hour
"Educational Developer, Indigenous Knowledges",University of Waterloo,"— Waterloo, ON","Estimated: $70,507 - $89,278 a year"
Principal Network Specialist,opentext,"— Waterloo, ON","Estimated: $76,996 - $97,494 a year"
Senior Test Automation Developer,LogiSense Corporation,"— Kitchener, ON","Estimated: $106,510 - $134,865 a year"
Principal GCP Cloud Solutions Architect,Open Text Corporation,"— Waterloo, ON","Estimated: $74,417 - $94,228 a year"
Lead Product Manager (IoT),opentext,"— Waterloo, ON","Estimated: $97,948 - $124,024 a year"
Lead Site Reliability Engineer,opentext,"— Waterloo, ON","Estimated: $99,945 - $126,552 a year"
Senior Software Engineer in Test,Magnet Forensics,"— Waterloo, ON","Estimated: $74,802 - $94,716 a year"
Lead Product Manager (IoT),Open Text Corporation,"— Waterloo, ON","Estimated: $97,948 - $124,024 a year"
Sr. Systems Analyst - uCMDB,opentext,"— Waterloo, ON","Estimated: $75,888 - $96,091 a year"
Lead Site Reliability Engineer,Open Text Corporation,"— Waterloo, ON","Estimated: $99,945 - $126,552 a year"
"Sr. Manager, Business Processes - Financial Analysis",Open Text Corporation,"— Waterloo, ON","Estimated: $98,049 - $124,153 a year"
Principal IT Software Engineer,opentext,"— Waterloo, ON","Estimated: $90,589 - $114,706 a year"
Client Director,Open Text Corporation,"— Waterloo, ON","Estimated: $97,850 - $123,900 a year"
Client Director,opentext,"— Waterloo, ON","Estimated: $97,850 - $123,900 a year"
Infrastructure Cloud Architect,ApplyBoard,"— Kitchener, ON","Estimated: $108,484 - $137,365 a year"
Lead Systems Analyst,opentext,"— Waterloo, ON","Estimated: $92,034 - $116,535 a year"
"Senior Software Engineer, Mobile (Android) - Remote/Hybrid",IMS,"— Waterloo, ON","Estimated: $93,765 - $118,728 a year"
"Sr. Manager, Business Processes - Financial Analysis",opentext,"— Waterloo, ON","Estimated: $98,049 - $124,153 a year"
"Senior React Native Engineer - Afterpay, Cash App",Cash App,"— Waterloo, ON","Estimated: $139,063 - $176,085 a year"
"Sr. Manager, SAP Finance Applications",opentext,"— Waterloo, ON","Estimated: $87,742 - $111,102 a year"
"Sr. Manager, SAP Finance Applications",Open Text Corporation,"— Waterloo, ON","Estimated: $87,742 - $111,102 a year"
"Senior Cloud Security Engineer- Remote, Ontario",Smile DH,"— Kitchener, ON","Estimated: $129,190 - $163,583 a year"
Sr. ITSM Analyst - SMAX,Open Text Corporation,"— Waterloo, ON","Estimated: $66,904 - $84,716 a year"
Account Development Executive,opentext,"— Waterloo, ON","Estimated: $86,648 - $109,716 a year"
Senior Monitoring Specialist (Sitescope),opentext,"— Waterloo, ON","Estimated: $77,886 - $98,621 a year"
Account Development Executive,Open Text Corporation,"— Waterloo, ON","Estimated: $86,648 - $109,716 a year"
Sr. ITSM Analyst - SMAX,opentext,"— Waterloo, ON","Estimated: $66,904 - $84,716 a year"
Sr. Systems Analyst - uCMDB,Open Text Corporation,"— Waterloo, ON","Estimated: $75,888 - $96,091 a year"
Lead Product Manager,Open Text Corporation,"— Waterloo, ON","Estimated: $97,948 - $124,024 a year"
Lead Product Manager,opentext,"— Waterloo, ON","Estimated: $97,948 - $124,024 a year"
23-101 Full Stack Developer,Raise,— Ontario,"Estimated: $88,707 - $112,323 a year"
