"
  Higher Goals - Goal Setter & H","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu9MfpWA7fDTORGLfRFqOlKCVyemCJcllfn8BjWPAA=s32-rw","Arjun Babu","Show review history","August 1, 2020","One of the best interfaces I have come across. But when you consider the functionality with the price point, lot of other apps beat this one by a good margin. Either bring the price down or introduce enough features to distinguish yourself to justify the price. Edit: I do hope you will add the option to enable/disable north star, goals and habits. I use just the goals feature right now, so disabling the others would be convenient.","57 people found this review helpful","Mindful Suite","July 30, 2020","Hey thanks for the kind words. Yes we are actively working on the improvement. Unlike many other apps that haven't been updated for years, we ship surprise every month to delight our customers. We'll also adjust the price based on currency to be more accessible. We are studying the right prices."
"https://play-lh.googleusercontent.com/a/ALm5wu0SK2DaO6i0-aBMP2iCVHPvgfShIDP-9-pWO2Wg=s32-rw-mo","Hamish N","","June 26, 2022","I've enjoyed using the interface of higher goals, but feel it could use more customization, like instead of circles for habits maybe a simple downwards list that can be ticked off, this would keep easier to look at and more orderly in priorities. Also a journal component would be amazing, if we could write about our plans and goals, in a journal on the app that would be fantastic. Another great to add could be a Monday to Sunday timetable, so time could be scheduled for habits and activities.","8 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","February 11, 2020","Exactly what I was looking for! I wanted something that could track daily, weekly (1x or multiple times per week), and monthly habits as well as annual goals. Most apps don't track monthly tasks or if they do then the task is due on a certain day that month instead of getting it done within that month. This app has what I wants and also keeps track of annual goals and % complete! A bar fills up to show that I have read 3 of 30 books this year, for instance.","20 people found this review helpful","Mindful Suite","February 14, 2020","Thank you, Amber. How you use the app inspires us and you explained it better than we could. Indeed, habits are weekly goals, north stars are life goals, and other goals fall in the middle. We are glad that we are the first app that sees this fact and let people track all of them in one place. We wish you a great 2020!"
"https://play-lh.googleusercontent.com/a/ALm5wu3YiGDDO7Y9gePavAXbQAiMEe9QFxKvjHh_4K3Omg=s32-rw-mo","Sophia Price","Show review history","December 27, 2021","Spent a really long time searching for an app that would tie my habits to an overarching goal & love that I've finally found a great app that does exactly that! I only just set the app up, but so far it seems great and is easy to use. There seems to be a minor bug where if I'm creating a habit, and I still have the text box of describing the habit selected, I can't save the habit. I just keep getting a pop up saying ""describe your habit"", even though the text box is filled in,but still selected","16 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-N-aiPDS4RB9s-E3h0wMHyzPcnu43gh-IUOZvw=s32-rw","Natan Mobile Legend","","November 10, 2020","This app fits for me. But there is problem. It seems there's a slight bug in the app. So, when I switch from this application to another application (multitasking) and then switch to this application again, the app suddenly crashes and cannot be moved at all (not because my phone is lagging). why? Hopefully you will quickly fix it. I'll add two stars later.","49 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_DBSapyusb_IWD2uLlvNsh6zpvBh7fkKixLckdTbc=s32-rw","Travis Ashley","","December 13, 2020","I love the IDEA of the app, but it's execution is terrible. When logging progress, the numbers entered will often disappear. It will initially show your progress, but then you can watch it as the number disappears and reverts back to the previous number. This fatal bug makes app almost entirely useless. I hope this is fixed but for now, ive lost too much progress to continue relying on this app. Hopefully this will be fixed because I really do love the design.","66 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9y6xMs127_LvcetYS4Kx1apSyJuCb0zTvXIsKY=s32-rw","Tess","","May 5, 2020","Love this app, the UI is gorgeous and easy to use and the goal features and check-in works well. It would be nice to be able to change the tracking units and frequency. At the moment you can only add 'times' per day/week/month, but I would like the option to have hours, minutes, and other goals. And to be able to set specific days would be a useful feature.","16 people found this review helpful","Mindful Suite","May 5, 2020","Hi thanks for the kind feedback. Could you send us a few examples of habit/goals you'd like to track to terry@mindfulsuite.com? The UI won't be able to predict how to calculate the analytics for all custom units. So specific examples would help us bring it to you! Thanks!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_pOoEx5hq9tkFUw4rzwYgVXWM5pY2SBptVIF1f0A=s32-rw","Laura Withers","Show review history","June 10, 2020","When I posted a frustrated review I got a great response. So I tried the app. I love it! Simple and customizable, the developers let me decide what constitutes success and track in measures and frequencies of my choosing. I love filling the bars in and my ""North Star"" kept in view. Beautiful colors & graphics too. NOTE: I was annoyed that I couldn't find cost information. It is buried in your profile after clicking upgrade. Should be in upfront in app description or, at least, in FAQs","13 people found this review helpful","Mindful Suite","June 10, 2020","Hi Laura, the app is free to use for up to 8 habits and 20 goals in the upcoming version. No ads whatsoever. Pro subscription is $3.99/mo, $19.99/year, or $39.99/one time. Sorry about the confusion and frustration. Have a nice day and we wish you the best luck with your goals. 🙏  Update: thank you for the kind words! Much love ❤️"
"https://play-lh.googleusercontent.com/a-/ACNPEu923AIsgDeeulU62cggGkl4sRAgEc3SwgLl-oLrLig=s32-rw","Nuvaquahu Namingha","Show review history","July 15, 2020","This habit and goal setting app is pretty amazing already and still has great potential! I really like the design. Compared to dull and too statistical looking apps like Habitfy, this app is way better. I feel some things are maybe still missing to make the app perfect. Suggestions: Add a skip function, add change the background picture for the top 'Good Evening' section. Clean up the calendar, maybe only having the tasks/habits/events. Also a sync function with other devices (smart watch,pc)","9 people found this review helpful","Mindful Suite","July 15, 2020","Hi there, thanks for the kind words and helpful feedback on what we can improve. We totally agree. Web version is coming this month and the calendar needs a supercharge. We'll keep innovate to make this even more actionable and motivational."
"https://play-lh.googleusercontent.com/a-/ACNPEu_RIwo0Sf8mUnGhS0M_d7XYwdQ9JsReQwrHUrRzR7E=s32-rw","Briony Kemp","","December 24, 2021","I have looked at multiple goal/vision apps and this one is the simplest to use. Mainly because I like that you aren't forced to upload a photo like a lot of other apps do, and it breaks things down into vision (North star), goals and habits. I would love it if you had a widget so there is a visual reminder of your goal without going into the app. Would also be great if there were more stock photos available to use.","14 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu87q5ZJgZ-XZaond6Fv-HzbTLq0zG4W4VQaznzq9w=s32-rw","Phil S","","January 12, 2021","There's a lot to love about this app, and I hope it continues to be developed. But there are also things which need to be fixed (on my phone, at least). For instance, it freezes up and becomes unresponsive every few minutes, and needs to be restarted. The rotating banner takes up too much space (that could be better used showing more goals). Some of the text/numbers on some screens gets cut-off. Sometimes when you're editing a parameter, it doesn't save/stick. Finally, the price perhaps too high. But even with flaws, it's still a solid four out of five. Great work!","38 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8hY2Ql529Tcg3-knKcFBivEjq5eHxsqPKUFMjNg90=s32-rw","jeremy patrick","Show review history","October 19, 2020","The best goals and habits app IMO. Better than habitica and the others. I needed something simple but with a easy to use UI. It needs more features however. Like family goal, habit and todo list. This could grow into that. That said, the price doesn't justify the features. If they added the a family section and it could be used across multiple devices then I could see the price being justified.","12 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu92138P2lh1kXycTEXnRuhUIFyCMTtqmJ2FOhgP=s32-rw","Shaf Karim","Show review history","April 13, 2022","The app is great. Has Dream Goals/Mindset reminder at top. Also its clear and easy to use. Very user friendly. Very visual. I was thinking maybe a vision board could be added at the top scroll bar as visuals communicate better with the subconscious mind and creates an imprint of future self. Also when the goals deadlines goes to a certain percentage eg. 5 days left out of 20 days (25%) they could change colour to alert you when it's critical. Eg. Green, orange 25%, red 10% or it could flash.","15 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0egpbLIhWD78rF0iff2Txsl5RdS-6SR1H6FsUw=s32-rw-mo","Yannick Rossi","Show review history","August 10, 2020","This app really is great! It has a simple but well designed concept, is easy to use and perfectly helps you keep track of your goals and habits. It totally kept, what it promised. I wrote to their support because of a minor issue and they replied so fast and were really helpful, which made me love their app even more! I can definitely recommend this app!! Only suggestion right now: if I mark a certain habit a done for today or for a week or month, it shouldn't remind me anymore about it.","18 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9i0atwLHaI9xn4JY6Rv_YdyCg5hgOa-ERYJ73wPg=s32-rw","Logan Bowyer","","June 19, 2021","This app is incredibly well researched and thought out. It has a minimalist design that guides you through setting up your goals in life, and it feels rewarding to use. I'm looking forward to even more features. I will say that I'm waiting on widgets to see if I give it five stars. I keep a clear home screen for high priority tools and this would definitely be one. I recommend giving this app a try and being patient as they roll out more features. The lifetime price is steep but I see potential.","29 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","February 21, 2020","I'm using the free trial right now and really love the app. Beautiful and simple layout. I am considering the premium but would like to know if a widget is included - I'd love to be able to add a list of habits and goals, with a translucent background, to my phone screen. Helps with motivation.","8 people found this review helpful","Mindful Suite","February 26, 2020","Hi Jennifer, thank you for the review. Could you send an example of widgets you like to terry@mindfulsuite.com? We typically add features suggested by our customers in 1 - 4 weeks, depending on how complex the solution is. Thank you and have a great 2020!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8pLwViADQn-ICLZI2yKlbyJBwuSLf8gjEvf88epsQ=s32-rw","Anastasiia Vasilkovskaia","Show review history","June 10, 2020","The best app for tracking goals to me, and I tried to choose from many. Love the concept and minimalist design, fits perfectly to my self improvement ideas:) It would be nice to have built-in timer with some habits to set and track time daily (e.g. do for an hour daily). The rest of features is perfect to me:) Thank you to the developers, really great app!","7 people found this review helpful","Mindful Suite","June 11, 2020","Thanks for the kind words. Great suggestion we'll add that to our feature list for July. Cheers!"
"https://play-lh.googleusercontent.com/a/ALm5wu2MmP-IX4TpLMXuePDGyReUU8TQ0T6A9KdQmxs_=s32-rw-mo","Christopher Maroday","","September 15, 2022","Even with a paid subscription, the features remain locked most of the time. I have tried reinstalling this app three times already. What makes it worse is that the ""I have problems"" button doesn't even work. I cannot even report the problem nor contact support.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9nnhl0fCAzdhsyaFPcIPg-gV7b2qF3-YMg_hHWJw=s32-rw","Madeline Folz","","October 6, 2021","There's no way to delete a goal if it become obsolete, and when I signed in it completely wiped all my data. I had been using the app not signed in for months without realizing it, signed in and all my in progress goals were replaced with some that were associated with my account. Terrible user experience. User should get a warning this would happen, or better yet merge the goals set up in guest account with the user account upon sign in.","26 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_Tk8FcZTYaEP1DxjP-lXLxQOgG_eKorrEEBSh1HA=s32-rw","G _chimera","Show review history","November 14, 2021","This app is great however it would be really helpful to have like a one week visual over view of what we have set for days through the week or is it is possible just add it onto the page where you have already provided us with a calender. It would be very helpful to help ke keep track of all the things I use your app to schedule.","25 people found this review helpful","Mindful Suite","November 14, 2021","great suggestion. Will be redesigned and updated"
