"
  Resplash - Wallpapers","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu87YY-jBtAABpykykOkitlL_Cq7yGVy2mG0PzztEF8=s32-rw","Abhinav Rana","May 12, 2020","The photos that I've downloaded off the app randomly keep disappearing from my gallery. I didn't delete any of those. It's happened twice now, and the resplash folder is the only one from where the photos disappear. I think I had 50 or so pictures the last time I checked, I'm only left with about half of that number now? Not sure if there's something wrong with the app, but it doesn't happen to any of the other media on my phone. Any help would be appreciated.","47 people found this review helpful","Brandon Lam","June 26, 2020","Hi Abhinav, please try the latest version v3.0.2. This issue should be fixed. Thanks!",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","August 19, 2019","Awesome app. Would be useful to have a 'next wallpaper' homescreen shortcut (or an app shortcut, like the one already present for 'search') for skipping the current wallpaper fetched by auto wallpaper. The button is present in the auto wallpaper menu but it's tedious to open the app and go to the auto wallpaper menu to change the wallpaper every time. Edit: Thanks for the reply. Quick settings tile works fine for me. 👍","10 people found this review helpful","Brandon Lam","August 19, 2019","Hi Abishek, glad to hear that you are liking the app. Currently there is a quick settings tile that can be added to your notification drawer that will skip the current wallpaper. Let me know if that works for you or if you need any help enabling it 😊","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-e5iCYJKLJf-qLsPmQq85tpVBZE8bHvjb-gNp6dU4=s32-rw","Aaron Jacobs","September 5, 2022","Update: this app doesn't yet have a material you icon for Android 13. Original: Auto wallpaper sets more frequently than the user specified interval, and the search terms are searching every word individually even without a comma separator. Other than that I'm loving the md2 redesign and the auto wallpaper feature. I'm definitely using the app a lot more now.","13 people found this review helpful","Brandon Lam","July 3, 2020","Hi Aaron, auto wallpaper is affected by Android Doze which tries to optimize background tasks to save battery. You can try and disable battery optimizations for Resplash if you want it to change closer to the specified interval. Also search terms without commas might just be working coincidentally depending on the terms. I hope that helps.","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","May 30, 2019","I would give it 5 stars if not for one small bug/problem. The auto wallpaper. In my experience it does not work, no matter the conditions I turn on. But besides that little bug/problem, I do love the app. Has a nice UI (even has dark & black [amoled] themes), it's fast (depending on your network) and it's really well organized. Keep up the good work!","15 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-R5fTtaKGUa2vac_VcaTGZ8k_m9Tef-IwNdQZetFk=s32-rw","Katlyn Moore","May 9, 2020","So, I LOVE the website. I wanted to download it on my phone so it would be easier to look at, but I have an android. My roommate has the iphone version, and it is 10x better! It has categories, is easy to use and shows the pictures so well. My version doesn't have categories, and it shows the same pictures every single time I get on there. So if I want to look at something new, I have to search for it, which is difficult sometimes. PLEASE put in categories for android users. It's WAY better.","62 people found this review helpful","Brandon Lam","June 26, 2020","Hi Katlyn, unfortunately Unsplash doesn't allow third party applications like Resplash to access these categories. Unless Unsplash decides to allow this functionality, there isn't much I can do. Sorry 😭",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-BSG6QUULPCef-llWw-KTlhUo_2Cug1QR1gux-OQ=s32-rw","Dorin Seremet","June 26, 2020","I love the new design and the new features with this update! However I noticed an issue in regards to individual profile. When I'm trying to add an account in the app, it redirects me to the browser page, and after putting my login and password it logs me in the browser, but doesn't register or login in the Resplash app. Maybe it can be fixed with the next update.","30 people found this review helpful","Brandon Lam","June 26, 2020","Hi! Sorry to hear that you are seeing this issue, send an email to whoisbrandonlam@gmail.com and I can try to help you out there.",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","March 21, 2019","This doesn't really work well as a mobile app. It isn't because it's bad, it's the fact that their library has a pretty small percentage of images suitable for mobile wallpapers They just aren't the correct resolutions. You'll easily spend many minutes scrolling just to find an image the proper size, or even orientation, then good luck if it's something you like. For desktop wallpapers though, amazing selection. But this isn't a desktop app.","15 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9K1wO4WYoflVSIHQKYyq0623P0bcmqs0Tp0f8SDA=s32-rw","Yashny Thevudu","October 24, 2020","Edit: This app is great but it seems to have a bug. It crashes and says oops something went wrong during downloads. Then I have to clear the memory and log back in to continue. It happens almost daily. Please fix this. This is a great app! I need royalty free pictures as I paint them for my blog and youtube so I find this app very helpful as I can easily download them via mobile","24 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu85W2OjSi4rpZt68GHv3uvKuvlshLGI_YyApWHE=s32-rw","Claudie Lefebvre","July 9, 2020","Only one thing missing: on replash Pro, you can select search terms for the Auto Wallpaper, which is very nice. The only thing I would highly suggest is that you add a ''blocked'' terms for thing that you dont want as a wallpaper. By example, I am uncomfortable to have somebody's portrait as a wallpaper when I dont know that person. I also don't want to have food as a wallpaper and other things like that :) Im sure I am not the only one though. Overall, the app is great, better than IG!","29 people found this review helpful","Brandon Lam","July 9, 2020","Hey Moxie, that's a great idea! I'll see what I can do about that. It will most likely rely on the tags that are in the photo so I can't guarantee that all blocked terms will be filtered out but it should catch most of them. 🙂",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","October 17, 2019","Over a million RAW wallpapers, yet no ads to be seen. I've been trying to find an application to collect images with, but most of them are bombarded with ads. Well, what do you know. I ended with Unsplash. Frankly, my PS4 wallpapers came from the site itself, and having a mobile app to easily browse the amazing array of images from there to my phone is such a nice feature! Great job on Resplash! 😁👍🏻","11 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","May 28, 2019","I downloaded the app only for the daily wallpapers. The wallpapers have very sharp resolution and great quality. The daily wallpaper feature is great, except that the app starts the 24 (or 48, and other options) hour count from the time you enable the feature. In other words, you do not get to choose when during the day you want the wallpaper to be replaced. If you enabled the feature at three o'clock in the afternoon, it will automatically replace your wallpaper everyday at three o'clock.","19 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9vkc8JUv8sVymC8eY2DdT9s1YiZthhrG1BsDI0CtU=s32-rw","Thomas Mangione","December 23, 2021","Grate app but .... I don't think it's fully compatible with android 12 yet . Don't get me wrong it's the best collection of photo walpers out their . The Auto wallpaper feature which is a premium feature constantly crashes it'll work for two or three hours sometimes sometimes it'll work for half an hour once in awhile work for a day but it always crashes and then often you have to restart the phone get it to work again. Other than that grate app .","19 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2OoEX2gbP4Sy9thz3yf7RKUlYzufLsoqzB2dW3=s32-rw-mo","Armin Weber","July 14, 2020","Great app and thank you for adding the parallax effect! The only thing missing now is an optimised wallpaper sourcing. Moxie's idea of sourcing featured wallpapers with a keyword blacklist seems to be the easiest solution to this problem. Edit: selecting a few collections does a good job as well and since the developer is extremely kind and helpful, I had to give it 5 stars now. You're awesome Brandon!","15 people found this review helpful","Brandon Lam","July 14, 2020","Hey Armin, I did some investigating and the way that I wanted to implement blacklist it is currently impossible because the Unsplash API doesn't support it. I've contacted their team and they said that they would consider it but can't do it on a whim since it affects everyone using the API. So unfortunately this is out of my hands for now 😢","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","January 29, 2019","I love this app! It has a nice minimalistic design, with really beautiful high quality photos. Images menu is nicely hidden, viewable thru the pop up button. The menu also has a beautiful minimalistic design where you can chose to download, share, set as wallpaper, etc. the photo. The search bar makes it easy to quickly find images being searched. Overall, great app!","2 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","February 19, 2019","Great app but auto wallpaper feature is buggy. Seems to get stuck on wallpapers (I.e. you set it to change every 3 hours and it'll stay the same until you restart the phone or manually change wallpaper); viewing wallpaper history the app thinks it's set wallpapers that actually haven't been set. It's also slightly unintuitive to set wallpaper manually. Given most options for the picture are directly underneath it (favourite, etc), it's odd to then have the 'set wallpaper' hidden in arrow button","6 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-BMmDeylodAxuKnbOL424HX5YXQ0wE2K2_d37C4HA=s32-rw","Abdullah Moiz","October 1, 2022","Edited: The app is great and simple to use, I assumed that the pro version would be without ads, but they aren't too intrusive so that's fine Original:Not sure why but I still get Ads even after buying the app, the dell sponsored post still shows up as the first one","","Brandon Lam","September 30, 2022","Hi Abdullah, the sponsored posts are coming directly from Unsplash. As a third party app, I have no control over what content gets shown. Resplash doesn't have any ads itself nor is removing ads a feature of Resplash Pro. Sorry for any misunderstanding","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_8L9TOjbNwPhJVyrYyRBYNNcmxPTqaWtUDdB1euQ=s32-rw","Hassan Zakai","June 25, 2020","I love the app for the most part but there's a few issues. on Samsung phones with the gestures enabled, the navigation bar is white when dark mode and the dark theme is enabled. also when selecting a photo, the download button is too high to reach comfortably. the set as wallpaper is too big on the bottom & the download option should be there. edit: developer responded. the long press is very useful for downloading, didn't know about it before. samsung gesture bar issue isn't a huge deal","2 people found this review helpful","Brandon Lam","June 25, 2020","Hi Hassan, thanks for letting me know about these issues, I'll look into them and hopefully fix them in the next update. Just wanted to let you know that you can also long press on a photo to download it which should hopefully help with reachability. Also the set wallpaper button should shrink automatically when you scroll. I hope that helps!","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","October 2, 2019","Edit: I disabled battery optimization for the app and it seems to work now. Great app for a great platform. However, I seem to be unable to have it set a new wallpaper on the interval I specify. It is set to change every 3 hours, but it changes almost immediately.","","","","","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","July 14, 2019","I have always been on the lookout for the coolest wallpapers. There are a bunch of apps in the market and I have tried many of them. But this app is totally amazing. The abundance and the variety is breathtaking. Even the ad placements are such that they are totally non intrusive and don't look wierd. Highly recommended. Great job dev.👍","23 people found this review helpful","","","",""
