"
  Daily Planner with Calendar","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a/ALm5wu0Hldr9QRanDFVzEmFtsxo9ZnbdrjyFNOf2NnEs=s32-rw-mo","Robert Cooper","February 10, 2022","As it is, the app is a very effective planner. It could be more, but the devs seem to be listening to feedback. I'd just love a one time purchase option instead of a monthly payment. That said, I appreciate that they easily give premium features for a limited time if you watch an ad. Other ads can be obtrusive though, but ads are ads. I'll give 4 stars for now, but that may change at a later date.","27 people found this review helpful","Kiyoh Inc.","February 13, 2022","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a/ALm5wu10jRfYvzbroObQigzH6-85GdpbcwKL0px3uTAx=s32-rw-mo","Me Notyou","August 3, 2021","I LOVE this app! It's exactly what I've been looking for in a daily planner and count down! The only thing I'd want to improve is it needs the ability to turn off notifications for individual tasks (so that it doesn't wake me at midnight to tell me I'm still sleeping LOL). Otherwise it's great and I love being able to see my plans at a glance, all color coded, and counting down like a clock! Brilliant!","55 people found this review helpful","Kiyoh Inc.","August 7, 2021","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_AJekKezg59W5HaN1lT9DveylRFSc5Itruu_Ju=s32-rw","Elizabeth Watson","August 30, 2021","I really wanted to like this app. I thought it'd be perfect for my ADHD and for it to replace the clock on my home screen (because time doesn't exist). But when I watched some adds to unlock the widgets (a premium feature) it was just a white box with a list of things I had put into the schedule. That's not worth paying for... I was really bummed to see this because of the few calendar clocks available on the android store, this is one of the only few with widegt options.","58 people found this review helpful","Kiyoh Inc.","September 8, 2021","We apologize for any inconvenience. We offer two widget, which is pie chart schedule and list of schedule. Please try to add pie chart schedule. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8RKpxtZ_ck0gxw8KYpkOuZD5-Qz1pak6KRKv9MAQ=s32-rw","Ivan Fomenko","January 7, 2022","Coming from iOS, I've severely lacked the owaves app on the android. Thankfully enough, this app turned out to be a decent replacement. However the subscription plan is extremely pricey, especially for the amount of features it offers. I would be glad if there were just a lifetime option to disable ads that are quite annoying in this app, but I'm not willing to pay 5 euros each month just for that","11 people found this review helpful","Kiyoh Inc.","January 7, 2022","Thank you very much for your kindness.
We would like to reflect all the requests we receive as much as possible, so we will proceed with development in sequence.
Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a/ALm5wu2QqeW8MIKQ7ehDvj_U0aCdoFNpQnxhMP6lyNOI7zs=s32-rw-mo","Risa","December 14, 2021","Simplest and most intuitive time blocking app! Very visual and I love that there is a simple diary view too to keep track of daily priorities/reflections. Suggestions: 1. Make easier to make/edit categories (""event title"") and reflect edit changes in graph. 2. Sometimes words overlap on pie. 3. I don't like how it makes android top bar (current time etc) disappear. 4. When you edit a task which overlaps with another, auto rescheduling is very buggy, doesn't work or makes the other task disappear","10 people found this review helpful","Kiyoh Inc.","December 19, 2021","Thank you very much for your kindness.
We would like to reflect all the requests we receive as much as possible, so we will proceed with development in sequence.
Thank you for your continued support.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_KwL4LCb1DEXM7Dg6sLLjCW7bVjb3wNWUIuHUu7A=s32-rw","꧁Maexia꧂","February 13, 2022","Wanted to use the widget but can't seem to find any options for customizing the widget/non-event colors, and theres a giant white box around the widget. Wish the widget was more customizable/had different themes. I do love that you can watch ads instead of paying for the premium, and it seems this app is still in the works and is being updated frequently.","13 people found this review helpful","Kiyoh Inc.","February 24, 2022","Thank you very much for your kindness.
We would like to reflect all the requests we receive as much as possible, so we will proceed with development in sequence.
Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_64sLtLMn9Vm0G6Xdw37Ng1_R-zs3SQP-OGUMmMQ=s32-rw","Melanie Odhner","August 28, 2021","Incredible for ADHD! I was gobsmacked to find that this gives me a clear sense of my day. Neurotypicals gush about day planners, but the rectangular ones do nill for me, so I never understood til now. This app stands out among clock-style planners because it doesn't require iOS or an interface with Google calendar, & it offers helpful advice about going easy on yourself as you start up. The UI is still very rough, and I've put in several feature requests. Great overall!","24 people found this review helpful","Kiyoh Inc.","September 8, 2021","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9oP79_zFk04NNvCmzuo0cuMncTXhhw4OOMFWEZOw=s32-rw","ankahi bat","November 4, 2022","The best app I found in decays, it easy, simple, colors and custom options add up to Mark, u can make your temples and these are available in normal mode without premium. The work by team is simply amazing and it's gonna be a year of me using it. Highly recommended and team keep going u are doing an excellent job","","Kiyoh Inc.","November 7, 2022","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a/ALm5wu3lntQr8H_ZyRMckArrpC4AohRH7RDzDYHUqZY1=s32-rw-mo","Patricia Strickland","August 4, 2022","Brilliant, so easy.to use and attractive. Makes planning fun and seeing your schedule st a glance really easy.","2 people found this review helpful","Kiyoh Inc.","August 21, 2022","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a/ALm5wu1ZwMr1uCFqMa1hz8-We7ag1SLi4dsoXSHG27vr=s32-rw-mo","Maliha Khan","October 9, 2021","Absolutely love this app!! I would like to see a widget for this app available, and the choice to label the hours as 12 1 2am-10 11 12pm instead of a 24 1 2- 22 23 24 system as we please. The translation is quite good for being in early stages, and could benefit from hiring an experienced translator in tandem with a native speaker of each language you are translating to in order to make sure the information gets across in an easy to understand way. Thank you!","31 people found this review helpful","Kiyoh Inc.","October 12, 2021","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9CtvqGVD-7TawXXM9jzFXsoahZXbPbOc7lQ92m=s32-rw","Maddison Kennedy","November 17, 2021","I have ADHD and this app is shaping up to be ADHD friendly, as the ""pie chart"" gives a visual of the day in chunks of time that REALLY helps. I think better additions would be a choice between having 24hr and 12hr clocks, as figuring out 24hr has always been hard. And simply pressing on an event on the pie chart and being able to move it around to another chunk of the day to make juggling events easier. And having an option to make your phone vibrate when an event starts. Great app!","15 people found this review helpful","Kiyoh Inc.","December 11, 2021","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_AQSBqdpZKE_-GQ4z18AXtkOP2eJmF0PreR9Yoyds=s32-rw","Khary Dixon","June 4, 2022","The cleanest and most enjoyable feeling apps I've ever used. The team seems to be aimed at improvement thru feedback","","Kiyoh Inc.","June 11, 2022","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a/ALm5wu35CntEBxrs6oURRcXAYolTET4XMLoxXWGY11IZYQ=s32-rw-mo","Nick","February 13, 2022","Im finally hitting the point in my life where i realize the importance of time management and having the pie chart as a visual representation of where my time is spent is a game changer for someone like me. I haven't explored much else of the app but it seems to have everything you could need from a time management app.","10 people found this review helpful","Kiyoh Inc.","February 24, 2022","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8x5WRUileBS_O6ytsebTe6LmYrlBLkfYq2eaGg7Q=s32-rw","Ikram yeager","December 7, 2021","I absolutely loved it! So handy and easy to use , i have a few suggestions that'd help you improve it : I wish 1- i can add emojis as well when i write a memo and the writing would stay within the time triangle, because i like to write details alot 2- to have a widget available on homescreen , and events would vanish as the time passes 3- (in the ""list"" blank) to have the check tab beside the events written, to help me see what i did and what didn't went up as i planned,.. Thank you 💞","2 people found this review helpful","Kiyoh Inc.","December 11, 2021","Thank you very much for your kindness.
We would like to reflect all the requests we receive as much as possible, so we will proceed with development in sequence.
Thank you for your continued support.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_RcqIjmavfr5M3_kuo8KWpeL4XE3l3RR4K6K6bnZs=s32-rw","Dr. Liliya Wheatcraft","January 21, 2022","Honestly, I tried them all (time management/productivity apps). I liked Taskito for project management functionality and this one for pure time monitoring visualisation. One thing takes a star away; the app gets confused about the premium vs free version. sort it out, guys - and 5 stars are yours.","3 people found this review helpful","Kiyoh Inc.","January 22, 2022","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9j89tjGqJzrT8hFzLFPJuUCNbl5YfeMswqtHj5RQ=s32-rw","Ghazal Salari","November 30, 2021","As a student, I really appreciate it. It's easy to use and you can simply plan for everything. The colorful tasks and tabs, perfect design.... They all make you to want to plan every day!! Thank you so much for creating such a wonderful app.","9 people found this review helpful","Kiyoh Inc.","December 11, 2021","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-l-SxzDZhDVtBRNaN1--sOq35Ju4csaZ5HyOVTnA=s32-rw","Elina Haber","July 26, 2021","Such a great application, nothing lacks! fully customizable and everything is clear, however I wonder how we can save the progress, and how we can make categorized charts, for example to make a chart of the daily screen time!","7 people found this review helpful","Kiyoh Inc.","July 26, 2021","Thank you very much for your kindness. We will improve the app to make it easier to use. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu99iZy3FWqd7aMF7b8TSrXpYCRfYV_FmojlDGwP1g=s32-rw","Eleanor Zhang","August 19, 2021","This app is so cool to use that I can't even put it in word- planing ur day is really fun with so much colour and not just that u can even write a diary. It is so good to use , I recommend it so much for especially people who need a sleeping schedule or not really good with time.i am really a night owl tbh, and I don't really have own schedule so I forgot things like classes but this app kinda help me for it","11 people found this review helpful","Kiyoh Inc.","August 22, 2021","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8VftWT3MBcz3mXTJHMWoVzMc6NjpFgW7W7aSatPw=s32-rw","Khansa Nadhifa","August 9, 2021","I love this app and it really helps me to manage my time better! one thing I want to request is can you make an integration to google account? So we can integrate our plans from google calendar. It would be really great too if you can add backup feature so I won't have to worry about my data getting lost if I buy a new phone","6 people found this review helpful","Kiyoh Inc.","August 10, 2021","Thank you very much for your kindness.
We accepted your request.
We would like to reflect all the requests we receive as much as possible, so we will proceed with development in sequence.
Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-UPMIHUJle_1MLmvEKDcXK4QfiL0doBdz2li8N_2U=s32-rw","ATHULKUMAR M","April 15, 2021","App concept is very great. U asked , That is only we give opinion. We think by adding event name. One title is Overloaded above of another due to allign that in horizontal method. I think if you allign that in vertical then we can read all title easily in the pie chart itself. anyway great initiative. hope everyone like this .","7 people found this review helpful","Kiyoh Inc.","April 21, 2021","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_PkLme8TXA5OHdpjp4a2qvZx-mZJKjkFSs8LgF=s32-rw","Val D-B","March 20, 2022","Seems to be no way to put if we actually accomplished what we put down without having to modify the pie... it would be nice if we can put a check mark to say it actually got done or an ""x"" if we didn't accomplish what we put down. Also the ""watch commercial"" doesn't seem to work, I press it and noting happens.","7 people found this review helpful","Kiyoh Inc.","March 22, 2022","Thank you very much for your kindness.
We would like to reflect all the requests we receive as much as possible, so we will proceed with development in sequence.
Thank you for your continued support.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_qGBid28qjapVqSHfba0kYrsM-YRs9YKqknqH6KA=s32-rw","Ali Hatami","October 18, 2021","Greate app!! I have some suggestions: * ability to move schedules by dragging * add utf-8 support for the title, (e.g. Persian titles will be shown as rectangle blocks) * ability to add description * Integration with todoist or other todo list apps would be a very delightful feature","6 people found this review helpful","Kiyoh Inc.","November 1, 2021","Thank you very much for your kindness.
We would like to reflect all the requests we receive as much as possible, so we will proceed with development in sequence.
Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a/ALm5wu2XmNlCyv5kqUguV7jSduxQlXW78Kpe5ILPNe0CeA=s32-rw-mo","Max Russo","August 8, 2021","This is a great app!! I only just started using it, and it's amazing! 100% recommend to anyone trying to organise their day. However, it would be great if there was an option to change the dates to British/Australian format.","4 people found this review helpful","Kiyoh Inc.","August 10, 2021","Thank you very much for your kindness.
We accepted your request.
We would like to reflect all the requests we receive as much as possible, so we will proceed with development in sequence.
Thank you for your continued support.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9moGNf_g23ZZAny1t3qlsMyoo_GstgzXCyj1_m2g=s32-rw","Sweet Fairy","October 17, 2021","To me this is the best app for time management. The variety of colours are so nice and let me specialize any items with the beautiful colors which I haven't seen in other apps. Everything is ok but if other languages like Persian added to this awesome app it will be much better to me Thanks for your creativity 💙","3 people found this review helpful","Kiyoh Inc.","November 1, 2021","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8rBGxWnbh4Gs4zxp63XOVu6sv1ciYboGvVZJRoWQ=s32-rw","Ashu ..","June 21, 2022","This is truly improved my productivity. I'm a procrastinator and this helped me be accountable with each hour.","","Kiyoh Inc.","June 23, 2022","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a/ALm5wu05dQI6y4ticLtkkSRQpwJi6xw4iuslHTlf6yNsPg=s32-rw-mo","Jennelyn Fermo","October 6, 2022","can you add something like my two phones get sync in this app? i badly need it because it will help and ease me to check to another phone. Actually, this is a great app for people who want to fix their schedule. Thank you for creating this!","","Kiyoh Inc.","October 9, 2022","Thank you very much for your kindness. We would like to reflect all the requests we receive as much as possible, so we will proceed with development in sequence. Thank you for your continued support.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9fCo0aQxs7urpmBMi7MLHMYNebQIaMg4G6yKXbTZk=s32-rw","Jennifer Neel","December 3, 2021","Just started using and so far it seems to be a great app, everything I've been looking for. My only complaint is not being able to change font color and size on the graph, it can be really hard to read the writing.","9 people found this review helpful","Kiyoh Inc.","December 11, 2021","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-APyXGUxm_PjRLK8fWowihGjETBeD-z7WW-u9B=s32-rw","Omid Reza Saadat","January 2, 2022","Thanks a lot for your convenient and practical App. If it is possible to change order (re-arrange) of activities,in my mind, it will be the most complete App in this field. In addition, please add Persian and Arabic language support. 🙏 You are the BEST.","6 people found this review helpful","Kiyoh Inc.","January 5, 2022","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8KlvDwUbYqC_j_4tk6DkpBUnHqc16d4KMU5dr_EA=s32-rw","Julia V.","July 14, 2022","I really love using this app, It helps me motivate my daily things to do and it's easy to use.","","Kiyoh Inc.","July 22, 2022","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9czcvY_A42UehkGwYay2yzyP8WTRLJrujmrUktHw=s32-rw","Matthew Toenjes","July 31, 2021","Nice and easy to use. The only thing I don't see is a good birds eye view over a period of time. It would be nice if the total screen could be viewed over different time periods (week, month, quarter, year).","6 people found this review helpful","Kiyoh Inc.","August 7, 2021","Thank you very much for your kindness. It is really encouraging to hear your warm words. We would like to carry out operations that value each and every user. If you have any comments, please feel free to contact us. Thank you for your continued support.",""
